City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,santa terezinha,-29.9002,-50.0904,72.54,77,10,13.18,BR,1702325276
316,malango,-2.9627,119.9001,67.82,96,86,2.66,ID,1702325276
317,hawkinsville,32.2838,-83.4721,58.35,30,0,8.12,US,1702325276
318,saint-pierre,-21.3393,55.4781,76.68,73,0,14.97,RE,1702325276
319,shimanovsk,52.0,127.7,-13.65,86,3,6.42,RU,1702325277
320,belyy yar,53.6039,91.3903,-31.11,75,40,0.0,RU,1702325277
321,ulsteinvik,62.3432,5.8487,33.75,79,11,3.0,NO,1702325277
322,narsingdi,23.9208,90.7181,64.42,71,0,2.91,BD,1702325277
323,northam,51.0333,-4.2167,54.66,95,21,14.58,GB,1702325277
324,nuku'alofa,-21.1333,-175.2,80.94,65,20,10.36,TO,1702325167
325,muravlenko,63.7898,74.523,-17.36,89,100,11.21,RU,1702325278
326,kolonia,50.9333,6.95,50.88,85,75,8.05,DE,1702325236
327,det udom,14.906,105.0784,76.15,66,100,2.71,TH,1702325278
328,hasaki,35.7333,140.8333,52.29,92,100,8.25,JP,1702325278
329,ajdabiya,30.7554,20.2263,64.0,61,40,10.67,LY,1702325278
330,novyy urgal,51.0736,132.5642,-25.67,99,18,1.61,RU,1702325278
331,la libertad,-2.2333,-80.9,82.06,69,20,11.5,EC,1702325279
332,bandon,51.7469,-8.7425,49.59,92,100,11.45,IE,1702325279
333,coquimbo,-29.9533,-71.3436,64.54,74,5,11.23,CL,1702325279
334,east london,-33.0153,27.9116,68.61,83,79,6.89,ZA,1702325279
335,kapuskasing,49.4169,-82.4331,17.73,72,86,6.71,CA,1702325279
336,vinogradovo,56.9333,37.55,17.82,93,100,12.5,RU,1702325279
337,aktau,43.65,51.2,12.78,85,95,22.82,KZ,1702325280
338,anadyr,64.75,177.4833,-14.01,75,0,8.95,RU,1702325280
339,choyr,46.3611,108.3611,-0.51,95,100,3.83,MN,1702325280
340,krapina,46.1608,15.8789,49.37,96,98,4.03,HR,1702325280
341,nizhniy ingash,56.2,96.53,-32.08,100,38,2.06,RU,1702325280
342,hood river,45.7054,-121.5215,47.43,97,100,7.0,US,1702325038
343,maracaju,-21.6144,-55.1683,88.72,52,53,4.03,BR,1702325281
344,xilin hot,43.9667,116.0333,1.6,96,100,3.15,CN,1702325281
345,huilong,31.8111,121.655,43.32,83,100,19.37,CN,1702325281
346,midvagur,62.0511,-7.1939,38.23,100,20,6.91,FO,1702325281
347,gereida,11.2811,25.1414,80.1,17,51,4.36,SD,1702325282
348,copan,14.8333,-89.15,81.5,83,70,6.53,HN,1702325282
349,artesia,33.8658,-118.0831,77.72,55,0,4.61,US,1702325282
350,dickinson,29.4608,-95.0513,66.16,45,0,6.91,US,1702325282
351,vila velha,-20.3297,-40.2925,82.35,81,40,16.11,BR,1702325283
352,derzhavinsk,51.1,66.3167,-20.38,92,8,13.96,KZ,1702325283
353,bardai,11.65,7.2333,63.19,26,0,9.26,NG,1702325283
354,papao,-17.75,-149.55,83.88,81,90,24.61,PF,1702325283
355,santa elena,-2.2333,-80.85,81.95,69,20,11.5,EC,1702325284
356,fisterra,42.9049,-9.2629,63.75,95,100,26.24,ES,1702325284
357,santa lucia,27.9117,-15.5407,65.77,43,0,4.61,ES,1702325284
358,tshabong,-26.05,22.45,75.34,18,0,10.63,BW,1702325284
359,brezina,33.0989,1.2608,60.73,26,59,5.99,DZ,1702325285
360,lompoc,34.6391,-120.4579,75.78,53,0,17.0,US,1702325178
